,Comment,Class,preprocessing_result
149,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1,hello everyone know probably pas kind comment still reading thanks ’ money advertisement chance getting heard nothing come spam sorry video animator trying make video animation industry please give chance prove please visit channel subscribe like thumb comment everyone see thank
150,"I want to see Shakira, not football :)",0,want see shakira football
151,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,love one fave song subscribed
152,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",1,people earth seen perform every form evil leisure cease reveling hate behold murder innocent day night plot evil neighbor stand right commit abomination clap hand wickedness celebrated openly street perverse abominable generation shall repay hear word lord trumpetcallofgodonline co
153,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,1,paid respond fast paid survey home enabled give working make buck monthly read go web site bitlybsefqe
154,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1,wow muslim really egoistic world population video donating dollar poor one africa shame terrorist muslim
155,Recommend:  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  Apple iPhone 5 (Latest Model) - 32GB - Black Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Sony 60-inch 3D LED HDTV Price:$510  All-in-One PCs: Apple MacBook Pro: Apple MacBook Air Price:$320  Camera :Nikon D90 SLR Camera /18-55mm /55-200mm 32GB  Price:$390   Ultrabooks: SONY VAIO Pro 13 Intel Core i5 4GB 128GB Price:$515  +++++++++++++++    Purchase online Website is:  Taaee.com,1,recommend apple ipad th gen gb unlocked wifig white price apple iphone latest model gb black price samsung galaxy iv gb new white price sony inch led hdtv price allinone pc apple macbook pro apple macbook air price camera nikon slr camera mm mm gb price ultrabooks sony vaio pro intel core gb gb price purchase online website taaeecom
156,OMG LOVE THIS!,0,omg love
157, plz i wilsubscribe me frndzzl subscribe u back,1,plz wilsubscribe frndzzl subscribe u back
158,I love dis song!! 3,0,love dis song
159,Love it,0,love
160,subscribe now!!!!!! love the song!!!!!! love football!!!,1,subscribe love song love football
161,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous",1,guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake duzafizz singlewave spourmo burder colorful claster incandescent ambitious winooze absorbing macabre crestboot boxium womanly tan ybuwyn forgetful pepelexa zealous
162,Shakira :-*,0,shakira
163,"Nice to meet You - this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Enjoy the music - wish You awesome day!",1,nice meet johnny already know music thumb found way want hear original song completely made person continue reading sing write original musiclyrics amp play guitar bass drum amp keyboard im manband music completely independent amp listenersupported want hear amp youre willing help record new album click namepicture enjoy music wish awesome day
164,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1,check new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtape
165,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check plausible summer submits behavior grass check peaceful seat country strategizes edge
166,Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1,message gta v fifa p galaxy mini ipad visit site hhnl
167,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life wont regret thank u people give chance
168,cool,0,cool
169,Hi. Check out and share our songs.,1,hi check share song
170,this song always gives me chills! :),0,song always give chill
171,WOw,0,wow
172,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1,stop wasting time get paid mess around facebook twitter get paid upto hour netjobscom work comfort home currently hiring people world wide range social medium job site facebooktwitter youtube dont need prior skill experience begin work immediately easily make monthly income…only netjobscom
